COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,PRSNTOTAL,PRSNRATE,MURDER,MANSLAUGHTER,FORCIBLE_SEX,ASSAULT,NON_FORCIBLE_SEX,KIDNAPPING_ABDUCTION,HUMAN_TRAFFICKING,VIOL_OF_NO_CONTACT,PRPRTYTOTAL,PRPRTYRATE,ARSON,BRIBERY,BURGLARY,COUNTERFEITING_FORGERY,DESTRUCTION_OF_PROPERTY,EXTORTION_BLACKMAIL,ROBBERY,THEFT,SCTYTOTAL,SCTYRATE,DRUG_VIOLATIONS,GAMBLING_VIOLATIONS,PORNOGRAPHY,PROSTITUTION,WEAPON_LAW_VIOLATION,ANIMAL_CRUELTY
ADAMS,2012,Adams County Sheriffs Office,"9,860",620,62.88,145,14.71,0,0,16,88,0,0,0,41,404,40.97,2,0,84,1,100,0,2,215,71,7.20,34,0,0,0,37,0
ADAMS,2013,Adams County Sheriffs Office,"9,935",693,69.75,130,13.09,2,0,22,86,0,2,0,18,501,50.43,4,0,120,0,137,1,1,238,62,6.24,24,0,0,1,37,0
ADAMS,2014,Adams County Sheriffs Office,"10,025",688,68.63,165,16.46,1,0,11,117,0,1,0,35,480,47.88,10,0,120,2,144,1,1,202,43,4.29,28,0,0,0,15,0
ADAMS,2015,Adams County Sheriffs Office,"9,960",685,68.78,139,13.96,0,0,16,89,2,0,0,32,491,49.30,5,0,117,1,128,0,6,234,55,5.52,33,0,0,0,22,0
ADAMS,2016,Adams County Sheriffs Office,"9,975",571,57.24,166,16.64,1,0,13,118,2,1,0,31,339,33.98,0,0,83,1,107,0,3,145,66,6.62,49,0,0,0,17,0
ADAMS,2017,Adams County Sheriffs Office,"10,035",498,49.63,133,13.25,1,0,16,93,1,1,0,21,272,27.11,1,0,50,2,84,0,3,132,93,9.27,71,0,1,0,21,0
ADAMS,2018,Adams County Sheriffs Office,"10,090",456,45.19,142,14.07,0,0,12,104,1,1,0,24,271,26.86,0,0,60,1,105,0,2,103,43,4.26,26,0,0,0,17,0
ADAMS,2019,Adams County Sheriffs Office,"10,145",389,38.34,118,11.63,0,0,7,99,0,1,0,11,196,19.32,3,0,39,1,58,0,0,95,75,7.39,66,0,0,0,9,0
ADAMS,2020,Adams County Sheriffs Office,"10,275",438,42.63,129,12.55,0,0,17,97,0,1,0,14,264,25.69,3,0,48,0,75,0,1,137,45,4.38,35,0,0,0,10,0
ADAMS,2012,COUNTY TOTAL,"19,050","1,915",100.50,346,18.20,0,0,19,252,1,3,0,71,"1,417",74.40,10,0,182,12,516,0,8,689,152,8.00,90,0,0,1,61,0
ADAMS,2013,COUNTY TOTAL,"19,200","1,971",102.70,376,19.60,3,0,26,281,2,6,0,58,"1,472",76.70,7,0,199,25,551,1,8,681,123,6.40,67,0,0,2,54,0
ADAMS,2014,COUNTY TOTAL,"19,400","1,960",101.00,434,22.40,1,0,19,314,1,3,0,96,"1,402",72.30,10,0,190,28,523,1,8,642,124,6.40,88,0,1,0,35,0
ADAMS,2015,COUNTY TOTAL,"19,410","1,607",82.80,352,18.10,0,0,26,256,3,6,0,61,"1,128",58.10,8,0,189,17,326,0,11,577,127,6.50,93,0,0,0,34,0
ADAMS,2016,COUNTY TOTAL,"19,510","1,398",71.70,373,19.10,1,0,18,280,2,2,0,70,876,44.90,1,0,144,6,255,0,8,462,149,7.60,116,0,1,1,31,0
ADAMS,2017,COUNTY TOTAL,"19,870","1,323",66.60,334,16.80,1,0,29,226,4,2,0,72,819,41.20,5,0,128,11,300,0,4,371,170,8.60,139,0,1,0,30,0
ADAMS,2018,COUNTY TOTAL,"20,020","1,217",60.80,335,16.70,0,0,23,248,1,2,0,61,751,37.50,1,0,124,15,260,0,2,349,131,6.50,96,0,2,0,33,0
ADAMS,2019,COUNTY TOTAL,"20,150","1,034",51.30,287,14.20,0,0,20,225,0,1,0,41,577,28.60,4,0,89,10,182,0,1,291,170,8.40,145,0,2,0,23,0
ADAMS,2020,COUNTY TOTAL,"20,457","1,091",53.30,253,12.40,1,0,23,193,0,1,0,35,744,36.40,3,0,95,4,296,0,3,343,94,4.60,76,0,0,0,18,0
ADAMS,2012,Othello Police Department,"7,495","1,168",155.84,175,23.35,0,0,1,149,1,2,0,22,921,122.88,8,0,76,10,398,0,5,424,72,9.61,49,0,0,1,22,0
ADAMS,2013,Othello Police Department,"7,565","1,142",150.96,213,28.16,1,0,3,168,2,4,0,35,874,115.53,2,0,62,25,398,0,7,380,55,7.27,37,0,0,1,17,0
ADAMS,2014,Othello Police Department,"7,695","1,161",150.88,241,31.32,0,0,7,178,1,2,0,53,842,109.42,0,0,55,26,368,0,7,386,78,10.14,57,0,1,0,20,0
ADAMS,2015,Othello Police Department,"7,780",757,97.30,175,22.49,0,0,7,137,1,4,0,26,520,66.84,3,0,55,9,180,0,5,268,62,7.97,53,0,0,0,9,0
ADAMS,2016,Othello Police Department,"7,875",649,82.41,185,23.49,0,0,5,143,0,1,0,36,387,49.14,1,0,40,4,123,0,5,214,77,9.78,63,0,1,1,12,0
ADAMS,2017,Othello Police Department,"8,175",623,76.21,163,19.94,0,0,10,106,3,0,0,44,388,47.46,3,0,37,6,184,0,1,157,72,8.81,63,0,0,0,9,0
ADAMS,2018,Othello Police Department,"8,270",570,68.92,150,18.14,0,0,8,111,0,1,0,30,339,40.99,0,0,32,12,125,0,0,170,81,9.79,63,0,2,0,16,0
ADAMS,2019,Othello Police Department,"8,345",521,62.43,139,16.66,0,0,10,104,0,0,0,25,294,35.23,1,0,31,7,109,0,1,145,88,10.55,72,0,2,0,14,0
ADAMS,2020,Othello Police Department,"8,515",516,60.60,92,10.80,0,0,4,69,0,0,0,19,376,44.16,0,0,29,4,207,0,2,134,48,5.64,40,0,0,0,8,0
ADAMS,2012,Ritzville Police Department,"1,695",127,74.93,26,15.34,0,0,2,15,0,1,0,8,92,54.28,0,0,22,1,18,0,1,50,9,5.31,7,0,0,0,2,0
ADAMS,2013,Ritzville Police Department,"1,700",136,80.00,33,19.41,0,0,1,27,0,0,0,5,97,57.06,1,0,17,0,16,0,0,63,6,3.53,6,0,0,0,0,0
ADAMS,2014,Ritzville Police Department,"1,680",111,66.07,28,16.67,0,0,1,19,0,0,0,8,80,47.62,0,0,15,0,11,0,0,54,3,1.79,3,0,0,0,0,0
ADAMS,2015,Ritzville Police Department,"1,670",165,98.80,38,22.75,0,0,3,30,0,2,0,3,117,70.06,0,0,17,7,18,0,0,75,10,5.99,7,0,0,0,3,0
ADAMS,2016,Ritzville Police Department,"1,660",178,107.23,22,13.25,0,0,0,19,0,0,0,3,150,90.36,0,0,21,1,25,0,0,103,6,3.61,4,0,0,0,2,0
