county,IndexYear,Location,Population,Total,Rate,VTotal,VRate,Murder,Rape,Robbery,Assault,PTotal,PRate,Arson,Burglary,Theft,MVTheft,,,,
ADAMS,1994,Adams County Sheriffs Office,"8,070",237,29.4,20,2.5,0,3,1,16,217,26.9,6,47,142,22,,,,
ADAMS,1995,Adams County Sheriffs Office,"8,215",332,40.4,24,2.9,3,3,3,15,308,37.5,3,85,201,19,,,,
ADAMS,1996,Adams County Sheriffs Office,"8,390",306,36.5,14,1.7,1,1,2,10,292,34.8,10,66,196,20,,,,
ADAMS,1997,Adams County Sheriffs Office,"8,630",252,29.2,29,3.4,1,7,0,21,223,25.8,0,86,118,19,,,,
ADAMS,1998,Adams County Sheriffs Office,"8,710",285,32.7,20,2.3,0,4,1,15,265,30.4,8,96,143,18,,,,
ADAMS,1999,Adams County Sheriffs Office,"8,710",226,25.9,22,2.5,1,2,3,16,204,23.4,2,76,113,13,,,,
ADAMS,2000,Adams County Sheriffs Office,"8,625",221,25.6,19,2.2,0,7,0,12,202,23.4,5,64,118,15,,,,
ADAMS,2001,Adams County Sheriffs Office,"8,960",215,24,24,2.7,0,10,3,11,191,21.3,6,56,113,16,,,,
ADAMS,2002,Adams County Sheriffs Office,"8,970",323,36,12,1.3,0,3,3,6,311,34.7,3,106,180,22,,,,
ADAMS,2003,Adams County Sheriffs Office,"8,895",375,42.2,24,2.7,0,12,2,10,351,39.5,7,115,196,33,,,,
ADAMS,2004,Adams County Sheriffs Office,"8,910",361,40.5,29,3.3,0,4,2,23,332,37.3,2,120,189,21,,,,
ADAMS,2005,Adams County Sheriffs Office,"9,150",321,35.1,35,3.8,1,6,6,22,286,31.3,3,86,167,30,,,,
ADAMS,2006,Adams County Sheriffs Office,"9,365",296,31.6,16,1.7,0,3,1,12,280,29.9,3,84,171,22,,,,
ADAMS,2007,Adams County Sheriffs Office,"9,530",320,33.6,16,1.7,1,6,2,7,304,31.9,7,87,187,23,,,,
ADAMS,2008,Adams County Sheriffs Office,"9,565",331,34.6,27,2.8,0,5,1,21,304,31.8,2,93,173,36,,,,
ADAMS,2009,Adams County Sheriffs Office,"9,665",288,29.8,24,2.5,1,4,7,12,264,27.3,5,97,130,32,,,,
ADAMS,2010,Adams County Sheriffs Office,"9,755",350,35.9,23,2.4,0,5,4,14,327,33.5,6,129,160,32,,,,
ADAMS,2011,Adams County Sheriffs Office,"9,825",317,32.3,23,2.3,0,3,6,14,294,29.9,6,107,152,29,,,,
ADAMS,1994,COUNTY TOTAL,"14,600",888,60.8,67,4.6,0,5,5,57,821,56.2,7,132,628,54,,,,
ADAMS,1995,COUNTY TOTAL,"15,200",967,63.6,46,3,4,5,3,34,921,60.6,3,150,733,35,,,,
ADAMS,1996,COUNTY TOTAL,"15,400",903,58.6,54,3.5,1,6,5,42,849,55.1,11,142,653,43,,,,
ADAMS,1997,COUNTY TOTAL,"15,800",766,48.5,58,3.7,1,9,2,46,708,44.8,8,185,479,36,,,,
ADAMS,1998,COUNTY TOTAL,"15,900",751,47.2,47,3,0,10,5,32,704,44.3,15,205,447,37,,,,
ADAMS,1999,COUNTY TOTAL,"15,900",662,41.6,51,3.2,1,4,4,42,611,38.4,6,168,411,26,,,,
ADAMS,2000,COUNTY TOTAL,"15,800",671,42.5,40,2.5,0,14,5,21,631,39.9,7,161,429,34,,,,
ADAMS,2001,COUNTY TOTAL,"16,600",695,41.9,44,2.7,0,12,7,25,651,39.2,10,109,490,42,,,,
ADAMS,2002,COUNTY TOTAL,"16,600",830,50,25,1.5,0,5,4,16,805,48.5,8,173,575,49,,,,
ADAMS,2003,COUNTY TOTAL,"16,600","1,053",63.4,42,2.5,0,16,4,22,"1,011",60.9,8,226,700,77,,,,
ADAMS,2004,COUNTY TOTAL,"16,700","1,008",60.4,61,3.7,0,9,11,41,947,56.7,8,265,624,50,,,,
ADAMS,2005,COUNTY TOTAL,"17,000",791,46.5,57,3.4,1,14,13,29,734,43.2,7,158,505,64,,,,
ADAMS,2006,COUNTY TOTAL,"17,300",850,49.1,33,1.9,1,7,1,24,817,47.2,5,172,591,49,,,,
ADAMS,2007,COUNTY TOTAL,"17,600","1,052",59.8,41,2.3,2,9,4,26,"1,011",57.4,9,255,675,72,,,,
ADAMS,2008,COUNTY TOTAL,"17,800",958,53.8,57,3.2,0,9,5,43,901,50.6,5,183,631,82,,,,
ADAMS,2009,COUNTY TOTAL,"18,000",852,47.3,57,3.2,1,6,19,31,795,44.2,10,185,525,75,,,,
ADAMS,2010,COUNTY TOTAL,"18,300",929,50.8,56,3.1,1,8,10,37,873,47.7,6,229,566,72,,,,
ADAMS,2011,COUNTY TOTAL,"18,950",873,46.1,53,2.8,0,4,10,39,820,43.3,9,209,537,65,,,,
ADAMS,1994,Othello Police Department,"4,780",564,118,41,8.6,0,1,3,37,523,109.4,1,78,414,30,,,,
ADAMS,1995,Othello Police Department,"5,240",528,100.8,19,3.6,1,1,0,17,509,97.1,0,60,438,11,,,,
ADAMS,1996,Othello Police Department,"5,255",509,96.9,36,6.9,0,3,3,30,473,90,1,69,383,20,,,,
ADAMS,1997,Othello Police Department,"5,395",423,78.4,25,4.6,0,2,2,21,398,73.8,8,81,295,14,,,,
ADAMS,1998,Othello Police Department,"5,415",374,69.1,22,4.1,0,4,3,15,352,65,7,85,244,16,,,,
ADAMS,1999,Othello Police Department,"5,435",373,68.6,29,5.3,0,2,1,26,344,63.3,4,84,243,13,,,,
ADAMS,2000,Othello Police Department,"5,445",353,64.8,18,3.3,0,6,4,8,335,61.5,2,83,232,18,,,,
ADAMS,2001,Othello Police Department,"5,895",396,67.2,18,3.1,0,2,4,12,378,64.1,4,40,312,22,,,,
